15608,-23962,31.985,-44.99,0.022
19208,-23925,39.483,-44.989,0.025
22681,-23891,46.986,-44.991,0.026
26007,-23863,54.481,-44.997,0.029
26485,-20135,54.487,-37.493,0.024
26889,-16255,54.486,-29.998,0.019
27213,-12252,54.494,-22.5,0.013
27441,-8143,54.495,-14.998,0.01
27563,-3965,54.492,-7.496,0.004
27582,243,54.496,0.002,-0.001
27490,4442,54.49,7.5,-0.004
27302,8598,54.506,14.995,-0.007
27008,12674,54.51,22.496,-0.012
26621,16643,54.503,30.004,-0.015
26164,20469,54.511,37.494,-0.018
25633,24147,54.506,45.002,-0.02
25051,27649,54.509,52.496,-0.022
21793,27632,47.009,52.495,-0.022
18407,27615,39.52,52.496,-0.021
14895,27597,32.016,52.493,-0.021
11283,27584,24.519,52.502,-0.019
7589,27568,17.015,52.501,-0.017
3842,27554,9.516,52.504,-0.016
818,27542,3.522,52.501,-0.007
-955,27534,0.018,52.494,-0.003
-3986,27522,-5.983,52.499,-0.007
-7751,27508,-13.473,52.502,-0.012
-11467,27488,-20.978,52.497,-0.021
-15101,27476,-28.481,52.505,-0.024
-18636,27462,-35.982,52.508,-0.029
-22053,27450,-43.473,52.514,-0.034
-25349,27438,-50.976,52.516,-0.037
-25901,23906,-50.981,45.017,-0.039
-26392,20200,-50.977,37.516,-0.04
-26821,16339,-50.988,30.016,-0.039
-27165,12345,-50.99,22.513,-0.038
-27418,8244,-50.993,15.018,-0.037
-27568,4062,-50.996,7.516,-0.036
-27611,-163,-50.998,0.019,-0.034
-27545,-4393,-51,-7.482,-0.031
-27376,-8587,-51.009,-14.982,-0.028
-27099,-12706,-51.008,-22.484,-0.026
-26731,-16719,-51.007,-29.982,-0.024
-26281,-20602,-51.009,-37.485,-0.022
-25767,-24327,-51.016,-44.981,-0.019
-25189,-27884,-51.026,-52.485,-0.018
-21881,-27852,-43.523,-52.487,-0.013
-18444,-27822,-36.017,-52.488,-0.008
-14893,-27795,-28.516,-52.492,-0.006
-11244,-27766,-21.023,-52.499,0.003
-7510,-27734,-13.52,-52.5,0.008
-3719,-27699,-6.016,-52.493,0.013
-673,-27679,-0.025,-52.502,0.019
1115,-27650,3.491,-52.482,0.018
4159,-27623,9.49,-52.479,0.021
7926,-27588,16.986,-52.48,0.024
11635,-27558,24.483,-52.489,0.025
15271,-27520,31.986,-52.484,0.027
18795,-27488,39.479,-52.489,0.028
22204,-27452,46.984,-52.489,0.031
25474,-27422,54.481,-52.492,0.033
27989,-27390,60.48,-52.493,0.035
28563,-23831,60.482,-44.997,0.03
29074,-20102,60.482,-37.496,0.024
29507,-16224,60.485,-29.995,0.019
29853,-12223,60.491,-22.503,0.015
30097,-8116,60.492,-14.998,0.008
30231,-3943,60.492,-7.502,0.004
30253,266,60.497,0,0
30156,4468,60.49,7.501,-0.006
29952,8622,60.497,14.997,-0.008
29644,12696,60.505,22.496,-0.013
29234,16662,60.504,30.003,-0.016
28744,20488,60.511,37.495,-0.019
28180,24163,60.509,45,-0.02
27559,27662,60.512,52.495,-0.021
26893,30987,60.513,59.997,-0.022
24429,30976,54.508,59.998,-0.023
21236,30961,47.012,60.001,-0.023
17918,30946,39.514,60.002,-0.026
14485,30934,32.01,60.006,-0.022
10963,30920,24.515,60.007,-0.023
7367,30905,17.015,60.007,-0.021
3716,30893,9.513,60.009,-0.017
775,30882,3.521,60.011,-0.014
-945,30875,0.026,59.999,0
-3897,30862,-5.975,59.999,-0.005
-7566,30850,-13.472,60.002,-0.012
-11186,30835,-20.977,60.002,-0.016
-14726,30823,-28.471,60.006,-0.021
-18180,30812,-35.974,60.011,-0.027
-21526,30797,-43.473,60.011,-0.037
-24753,30788,-50.969,60.02,-0.034
-27242,30777,-56.974,60.017,-0.036
-27884,27425,-56.982,52.517,-0.038
-28476,23893,-56.981,45.02,-0.04
-29009,20187,-56.987,37.518,-0.041
-29467,16324,-56.991,30.015,-0.042
-29837,12331,-56.99,22.519,-0.043
-30107,8225,-56.993,15.018,-0.042
-30273,4043,-56.998,7.52,-0.039
-30320,-186,-57.002,0.017,-0.037
-30249,-4416,-56.998,-7.482,-0.035
-30068,-8609,-57.006,-14.982,-0.032
-29778,-12728,-57.017,-22.481,-0.031
-29383,-16742,-57.012,-29.981,-0.027
-28907,-20623,-57.023,-37.48,-0.024
-28349,-24349,-57.02,-44.979,-0.023
-27732,-27909,-57.024,-52.484,-0.02
-27065,-31284,-57.021,-59.979,-0.018
-24569,-31267,-51.022,-59.987,-0.016
-21328,-31235,-43.52,-59.985,-0.011
-17968,-31205,-36.022,-59.988,-0.008
-14498,-31177,-28.525,-59.992,0.001
-10935,-31145,-21.023,-59.994,0.006
-7301,-31115,-13.524,-59.998,0.011
-3617,-31081,-6.023,-59.997,0.016
-644,-31057,-0.025,-59.996,0.021
1096,-31036,3.483,-59.982,0.024
4050,-31005,9.487,-59.98,0.023
7735,-30973,16.988,-59.983,0.025
11356,-30942,24.489,-59.991,0.025
14902,-30906,31.983,-59.993,0.026
18348,-30871,39.479,-59.991,0.029
21686,-30838,46.983,-59.994,0.03
24893,-30805,54.477,-59.995,0.037
27367,-30778,60.481,-59.992,0.041
