4436,65,9.498,0.01,0
4379,4278,9.496,7.515,-0.002
1035,4253,3.501,7.512,-0.001
-916,4233,0.002,7.497,0
-4265,4211,-5.995,7.499,-0.006
-4258,-3,-6.003,0.001,-0.004
-4228,-4224,-6.007,-7.499,0
-873,-4201,-0.005,-7.5,0.004
1088,-4176,3.5,-7.481,0.003
4433,-4153,9.501,-7.484,0.003
8569,-4125,17,-7.492,0.003
8562,92,17.002,0.01,0.001
8513,4304,16.999,7.509,-0.002
8433,8467,17.011,15.004,-0.005
4328,8444,9.508,15.01,-0.003
1012,8424,3.511,15.011,-0.004
-932,8406,0.008,15,-0.003
-4258,8386,-5.989,15.002,-0.008
-8384,8361,-13.49,15.003,-0.011
-8423,4187,-13.495,7.504,-0.01
-8428,-31,-13.504,0.004,-0.008
-8392,-4255,-13.511,-7.496,-0.006
-8315,-8440,-13.509,-14.995,-0.003
-4179,-8414,-6.008,-15.002,0
-843,-8389,-0.004,-15.003,0.005
1108,-8365,3.505,-14.987,0.005
4428,-8341,9.495,-14.993,0.006
8539,-8310,16.996,-14.993,0.007
12578,-8274,24.5,-14.99,0.006
12631,-4094,24.499,-7.492,0.003
12634,123,24.507,0.01,0
12565,4335,24.498,7.513,-0.003
12460,8493,24.507,15.002,-0.006
12307,12579,24.518,22.507,-0.009
8316,12552,17.013,22.5,-0.008
4258,12533,9.513,22.511,-0.007
973,12514,3.511,22.513,-0.006
-943,12492,0.007,22.492,-0.004
-4228,12477,-5.985,22.498,-0.008
-8312,12455,-13.488,22.501,-0.013
-12329,12432,-20.993,22.503,-0.017
-12439,8339,-20.993,15.011,-0.017
-12500,4162,-20.988,7.508,-0.016
-12515,-61,-20.996,0.003,-0.014
-12472,-4284,-21.007,-7.498,-0.011
-12375,-8470,-21.01,-14.994,-0.009
-12226,-12587,-21.01,-22.495,-0.006
-8205,-12559,-13.512,-22.502,-0.001
-4111,-12524,-6.012,-22.498,0.004
-812,-12500,-0.011,-22.5,0.009
1120,-12476,3.502,-22.483,0.008
4403,-12451,9.492,-22.488,0.01
8473,-12419,16.991,-22.49,0.01
12473,-12386,24.495,-22.494,0.011
